Ram,Price_euros,Intel,Intel_baja,Intel_media,Intel_alta,AMD,Gaming,Ultrabook,Notebook,Nvidia,Nvidia_Geforce,Nvidia_graphics,Intel_graphics,Screen_HD,SSD,HDD,HDD+SSD,ppi
8,860.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,141.21199808219862
8,1895.0,true,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,125.36742798669837
4,999.0,true,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,141.21199808219862
4,744.0,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,135.0942111925629
8,889.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,141.21199808219862
8,2025.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,165.6321180513006
8,1770.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
8,891.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,true,true,127.33567457123111
16,1799.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
4,297.0,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,135.0942111925629
16,2499.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
4,575.0,false,false,false,false,true,false,false,true,false,false,false,false,true,true,true,true,141.21199808219862
4,722.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,141.21199808219862
4,1020.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,111.93520355955211
16,1499.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,276.053530085501
8,1750.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,157.3505121487356
8,1511.19,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
8,1869.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,276.053530085501
8,1364.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,157.3505121487356
4,1799.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,165.6321180513006
4,769.99,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
16,1219.24,true,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,141.21199808219862
8,1099.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
8,1084.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,157.3505121487356
4,547.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
8,1873.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,157.3505121487356
4,805.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,127.33567457123111
4,450.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,1159.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
8,1099.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,276.053530085501
8,1280.0,true,false,false,false,false,false,false,true,true,false,false,false,true,false,true,false,127.33567457123111
4,603.0,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,135.0942111925629
4,529.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,127.33567457123111
8,928.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,127.33567457123111
4,435.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,812.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,157.3505121487356
8,619.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,157.3505121487356
